ID,Kichwa,Spanish,sentimientos
81,almut,almud 25 lib ,0.215579638
82,ama llulla,honestidad ,0.541333261
83,amapuna,traer ,0.341847159
84,amaru,serpiente ,0.37710603
85,amawta,científico ,0.541333261
86,amawta yachay,contenido científico ,0.536460273
87,amawtay,ciencia ,0.737772734
88,amañana,adaptar ,0.541333261
89,amañana- yacharina,adaptar ,0.541333261
90,amañarina,adaptarse ,0.711098194
91,amañariy,adaptación ,0.751804197
92,amita,sopa ,0.609729301
93,ampana,bostezar ,0.019686787
94,amsa,opaco ,0.372368291
95,amsayana,ocultar el sol ,0.509637373
96,amukay,suavidad ,0.541333261
97,amulliy,poner algo en la boca ,0.734844752
98,ana,lunar ,0.713030882
99,anaku,falda ,0.417266464
100,anchachilasa- ñawpa kawsakkuna,antepasados ,0.945176617
101,anchakuyay,pasión de vehemencia amorosa ,0.196129245
102,anchallpa,globo terráqueo ,0.405152107
103,anchallpakamay,geopolítica ,0.541333261
104,anchayupay,importancia ,0.670630386
105,anchuchina,quitar- sustraer ,0.046233151
106,anchuchiy,quitar ,0.138778922
107,anchuna,irse de casa- moverse de sitio ,0.796793001
108,anchuriy,retirarse ,0.34169244
109,anchuy,retirada ,0.541333261
110,anka,gallinazo ,0.541333261
111,ankana,volar ,0.28848034
112,ankas,azul ,0.541333261
113,ankas tapa wara,blue jean ,0.421667918
114,ankay,ceremonial ,0.896885114
115,ankichik,radio emisor ,0.017619987
116,ankiyachik,radio receptor ,0.126861642
117,anku,vena- arteria ,0.976377221
118,ankuyana,marchitarse envecer ,0.93017211
119,anta,metal ,0.541333261
120,antaki,plomo ,0.251684948
121,antakullki,monedas ,0.693473198
122,antanikik,computadora ,0.541333261
123,antanikik chaski,correo electrónico ,0.087084095
124,antapachachik,reloj mecánico ,0.071398033
125,antawa,coche- carro ,0.526284448
126,antayari,radio ,0.44105228
127,antayay,metalúrgico ,0.066453881
128,antisuyu,región amazónica ,0.204737935
129,apana,llevar ,0.696975801
130,apanakuy,llevarse - relacionarse ,0.733098063
131,apankara,cáncerenfermedad ,0.541333261
132,apankura,cáncer signo ,0.238023561
133,aparikanta,medios de transporte ,0.61786906
134,aparina,cargar ,0.22711243
135,apariykancha,medios de transporte ,0.61786906
136,apay,guiar- conducir ,0.173395623
137,api,colada- mazamorra ,0.043959472
138,apuk,ancestros ,0.825573139
139,apuk,líder-autoridad ,0.541333261
140,apukkuna,autoridades ,0.120029112
141,apukkuna tantaripacha,período de integración ,0.527903042
142,apukkuna tantatripacha,período de integración ,0.527903042
143,apuktukushka,emperador ,0.67510728
144,apunchik,dios ,0.399799404
145,apunchikamay,religión ,0.747574752
146,apunchikwasi,iglesia ,0.938298155
147,apuskachak,soberbio ,0.679200479
148,apyayala,continente americano ,0.698709377
149,apyayalapi chawchuri rikurimanta,racismo en américa ,0.347136649
150,apyu,caballo ,0.541333261
151,arawik,poeta ,0.96510586
152, thiyu / illul ,arena,0.655927241
153,arina,estrenar ,0.640818692
154,arinichina,convencer ,0.16108947
155,arinina,acceder- consentir ,0.541333261
156,arininakuy,acuerdo- tratado ,0.300161848
157,arininakuy,acuerdos- tratados ,0.310048062
158,arma,ayñi ,0.012653958
159,armana,bañar ,0.223200664
160,ashanka,canasto ,0.541333261
161,ashankayrumpa,básquet ,0.742371861
162,ashnana,oler ,0.599056249
163,ashtarina,mobilizarse- transportarse- moverse ,0.812686615
164,asichik,hazmereír ,0.541333261
165,asichisiki,chistoso ,0.193208294
166,asina,reír ,0.536873516
167,asinayay,chistoso- que causa risa ,0.183077115
168,asipayak,burlón ,0.01928831
169,aspi,guión ,0.613665894
170,aspina,rascar- subrayar- ,0.541333261
171,atallpa,gallina ,0.662156239
172,atam,parásito- ,0.541333261
173,ataw,jóvez ,0.541333261
174,atawchay,fortuna ,0.481240517
175,atawchayuk,afortunado ,0.414573823
176,atina,vencer ,0.214780181
177,atipay,conquista ,0.70914774
178,atiy,poder ,0.738374629
179,atsiyana,estornudar ,0.008954556
180,atuk,lobo ,0.371609721
181,atukamay,industria ,0.393515083
182,atukay,industria ,0.393515083
183,atukayashka pukuy,producción industrial ,0.360602368
184,atyak,babosa ,0.099191511
185,awaki,lunes ,0.421050195
186,awaki puncha,lunes ,0.421050195
187,awana,tejer ,0.541333261
188,awayllamkay,obraje ,0.541333261
189,awika,variedad ,0.968124331
190,awka,militar- soldado ,0.564890343
191,awkakancha,ejército ,0.311671759
192,awkarik puncha,martes ,0.482670733
193,awkaruna,pagano ,0.541333261
194,awkawasi,cuartel ,0.541333261
195,awki,principe- noble ,0.541333261
196,aya uma,personaje mitologico que lidera el inti raymi- materializacion de las energias de la pacha mama ,0.209238295
197,aycha,carne ,0.711635724
198,aycha / ukku,carne- cuerpo ,0.490605969
199,ayllu,familia ,0.838696816
200,ayllu chariy,poseer familia ,0.865305672
201,ayllu shuti,apellidos antroponimio ,0.601518711
202,ayllullanikipushak,monarquía ,0.190605207
203,ayllumallki,arbol genealógico ,0.620856717
204,ayllunikiyashka,grados de afinidad ,0.800779061
205,aymuray,mayo ,0.790854795
206,aymuray killa,mayo ,0.790854795
207,aynikuy,participación  ,0.6814308
208,aynina,convivir ,0.688651016
209,ayninakuy,participativa ,0.799926824
210,ayriwa,abril ,0.288698381
211,ayriwa killa,abril ,0.288698381
212,aysana,halar- cosechar ,0.765568062
213,aysana,arrastrar ,0.269796659
214,ayñi,arma ,0.541333261
215,añaki,bacteria ,0.00653504
216,añanku,hormiga ,0.385276872
217,añas,zorro ,0.207913774
218,añaw,virus ,0.080635638
219,chachina,masticar ,0.541333261
220,chakana,cruzar ,0.891332836
221,chakariy- mushukyay,cruzamiento ,0.541333261
222,chakata tullu,clavícula ,0.828569244
223,chakcha,alabanza ,0.541333261
224,chaki,pie ,0.800564355
225,chaki ruka,dedo del pie ,0.316675123
226,chaki sillu,uña del dedo del pie ,0.316675123
227,chaki uku,planta del pie ,0.775167439
228,chaki washa,talon ,0.212779972
229,chakichina,secar ,0.425095544
230,chakina,secar ,0.425095544
231,chakishka,seco ,0.425095544
232,chakishkapacha,sequía ,0.604617499
233,chakllamanyachi,paralelogramo ,0.541333261
234,chaklli,quìmico ,0.541333261
235,chakllisinchi,química ,0.596583246
236,chakra,sementera ,0.070315105
237,chakrakamay,agricultura- agrícola ,0.541333261
238,chakrakamay- allpa llankay,agricultura ,0.732793608
239,chakrana,cultivar ,0.770000958
240,chakrawiwakamay,agropecuaria ,0.541333261
241,chakru,mixto o combinado ,0.910532848
242,chakruy,composición ,0.778191175
243,challay,rito ,0.853122542
244,challay- wilkay- hawkay,rito ,0.853122542
245,challwa,pez ,0.436923919
246,challwa kapina,pescar ,0.541333261
247,challwakamay,pesca- pesquera- ictiología ,0.898922342
248,chani,valor ,0.682379364
249,chani – kuska,lugar turístico ,0.961415759
250,chanichina,valorar ,0.568801645
251,chanikuna,datos ,0.179067274
252,chanina,valorar ,0.568801645
253,chaniyay,valencia ,0.541333261
254,chaniyuk,caro- de valor en dinero ,0.273786637
255,chanka,pierna ,0.066837358
256,chantasu,llama ,0.216948499
257,chapak,policía ,0.242874132
258,chapak kamaypaktachi,intendencia de policía ,0.189023652
259,chapak kamaypaktachi puhak,comando provincia de policía ,0.430696514
260,chapak kamaypaktachi puhask,comando provincia de policía ,0.430696514
261,chapana,vigilar ,0.541333261
262,chapuna,mezclar ,0.599680559
263,chapuri,composición  ,0.778191175
264,chapuriy,combinación ,0.828759303
265,charik,rico ,0.97759939
266,charikyana,enriquecer- ganar dinero- acumularse ,0.027725545
267,charina,tener ,0.533537276
268,charinayay,tesoro ,0.85308702
269,charirashka rumpa,balón sostenido ,0.347511348
270,charirashka yasiy,balón sostenido ,0.347511348
271,charishkata killkakamachiy,registro de la propiedad ,0.127242226
272,chashnalla,solamente asi o de esa manera ,0.410153738
273,chaska puncha,viernes ,0.541333261
274,chaska rikuchik,telescopio ,0.634839911
275,chaskakancha,constelación ,0.541333261
276,chaskancha,constelación ,0.541333261
277,chaski shuyulli,sello postal / timbre postal ,0.850839771
278,chaskichik,recibo ,0.564984951
279,chaskik,relevo ,0.374513141
280,chaskilli,buzón de correo / casillero de correo ,0.076046448
281,chaskina,recibir ,0.564984951
282,chaskinancha,codominio ,0.541333261
283,chawa,crudo ,0.573844909
284,chawar,cabuya- penco ,0.541333261
285,chawcha,delicado- fecundo- rápido de madurar ,0.343626799
286,chawchuy,origen ,0.684796273
287,chawpi,medio-mitad ,0.541333261
288,chawpi kawsaypacha makanakuy,guerra medieval ,0.71858223
289,chawpi pukcha,medio quintal ,0.036950527
290,chawpi puncha,medio día ,0.617963984
291,chawpi tuta,media noche ,0.686986513
292,chawpi wata,medio año ,0.617963984
293,chawpi yachay,segundo nivel de educación media ,0.344425785
294,chawpihanika,media fanega 120 lb ,0.206216921
295,chawpikakuna,medios ,0.478580991
296,chawpikuska,semirrecta ,0.541333261
297,chawpikutirik,media geométrica ,0.453408926
298,chawpina / rakina,partir ,0.574340742
299,chawpipampa,semiplano ,0.541333261
300,chawpisuyu,región central ,0.828047372
301,chawpiyak,media aritmética ,0.453408926
302,chawpiyak chanikuna,medidas de tendencia central ,0.349244865
303,chawpiyamuk,mediana ,0.35846743
304,chawra,combustible ,0.004892398
305,chayana,llegar ,0.694729402
306,chayllatak,sinónimo ,0.578922496
307,chayman,directo ,0.542370087
308,chayniyak,distancia ,0.682649719
309,chaypikana,asistir ,0.80541454
310,chayra,aun ,0.491388851
311,chayrak,todavia ,0.267179343
312,chayrak ama,todavia no ,0.170569481
313,chayshinaya,copia ,0.153597783
314,chayshuk,otro- otra siguiente ,0.196772679
315,chayshuk kawsay,otra vida ,0.446103572
316,chaysinaya,copia ,0.153597783
317,chaytalla,solamente ,0.454722774
318,chaytu,fantasma ,0.191264689
319,chichuna,fecundar ,0.541333261
320,chika,tamaño/ verdad ,0.58320111
321,chikan,diferente/ raro/ estraño ,0.015901898
322,chikanchik iñu,punto aparte ,0.776465833
323,chikanchik iñuw,punto aparte ,0.776465833
324,chikanrakikyuk pakiyupaykuna,fracciones heterogéneas ,0.665020341
325,chikanyana,diferenciar ,0.541333261
326,chikanyay,diferente o distinto ,0.813654649
327,chikchichak,coqueto/a ,0.541333261
328,chikchichay,coquetear- coqueteo ,0.052768694
329,chiknina,odiar ,0.74860149
330,chikta- shara,partido- resquebrajado ,0.541333261
331,chiktana,partir- rajar la madera ,0.23388195
332,chilina,naranja ,0.541333261
333,chillay,miércoles ,0.360971033
334,chillay puncha,miércoles ,0.360971033
335,chillka,chilca ,0.541333261
336,chimay,descubrir una adivinanza ,0.899284682
337,chimiyana,surgir- emerger- germinar ,0.017208536
338,chimlasay,bióxido de carbono ,0.022844784
339,chimpamanyaypurachi,seno ,0.541333261
340,chimpamanyaypurachimuy,cosecante ,0.541333261
341,chimpamanyaypuramunchi,cosecante ,0.541333261
342,chimpamanyaypuranchi,seno ,0.541333261
343,chimpana,cruzar ,0.891332836
344,chimpanakuy,antónimo ,0.541333261
345,chimpapurachi,relación ,0.880541801
346,chimpapuranakuna,debatir ,0.18994938
347,chimpapuranakuy,debate ,0.300757177
348,chimpapuraychiy,comparación o relacionamiento ,0.948366585
349,chimpaykuchukuna,ángulo opuesto por el vértice  ,0.842510255
350,chinaku,homosexual- gay ,0.255311937
351,chinawakra,hembra- femenino para animales ,0.473206825
352,chinchaysuyu,norte ,0.667416762
353,chiniku,minuto ,0.446473842
354,chinilla,segundo ,0.491572151
355,chinkana,perderse- desaparecer ,0.191538082
356,chinkay,perder ,0.394423853
357,chinlli,desayuno ,0.890756872
358,chiri,frío ,0.201406043
359,chirikunuy,clima ,0.541333261
360,chirimuya,chirimoya ,0.993041907
361,chirina,hacer frio ,0.223899733
362,chiriwrku,paramo ,0.541333261
363,chishi,tarde ,0.443753503
364,chita,chivo- cabra ,0.814288932
365,chiwila,piña ,0.351750773
366,chucha,rapoza ,0.541333261
367,chuchi,pollo ,0.683342638
368,chuchu,seno ,0.541333261
369,chuhama- churipakchuri,nieto ,0.541333261
370,chukchina,recoger la sobra ,0.090231205
371,chukchu unkuy,paludismo ,0.541333261
372,chukchuk,tembloroso ,0.541333261
373,chukchuna,temblar ,0.422527473
374,chuki,mineral ,0.679960595
375,chukikamay,minera- minería ,0.541333261
376,chukillankay,mitas ,0.059509141
377,chukllu,choclo ,0.589018469
378,chukri,herida ,0.171167502
379,chukrichiy,herir ,0.390737815
380,chukrina,lastimarse ,0.088072938
381,chukrishka,herido/a ,0.541333261
382,chukriy,herir ,0.390737815
383,chukriyku,ulcera ,0.038387526
384,chuku,casco- celada ,0.541333261
385,chukuri,comadreja ,0.541333261
386,chullachishka kutinkutinchikyuk puchu,diferencia de exponentes impares ,0.930757734
387,chullachishka yupay,número impar ,0.147515683
388,chullashka kimsamanyachi,triángulo escaleno ,0.400177423
389,chullayashka yupay,número impar ,0.147515683
390,chullpi,chulpi ,0.541333261
391,chumpi,faja ,0.541333261
392,chumpiku,cinta ,0.488374782
393,chunka,diez- 10 ,0.541333261
394,chunka shuk,once- 11 ,0.541333261
395,chunkachik hillay,material decimal ,0.110911967
396,chunkachishka yupaychikakunata,representación polinómica del ,0.768797599
397,chunkakri,décimo ,0.663539321
398,chunkalli,decimal ,0.085437062
399,chunkana,juego de azar ,0.656072922
400,chunkayllichik,sistema decimal ,0.085437062
401,chuntapalashka,embrujado ,0.541333261
402,chupu,tumor ,0.04746288
403,churana,ropa- ponerse la ropa- llevar puesto ,0.480934841
404,churanakuna,vestimenta ,0.897420785
405,churi,hijo ,0.203394885
406,churu,caracol ,0.31190019
407,chushak,vacío ,0.400675545
408,chushik,lechuza ,0.066259016
409,chusku,cuatro- 4 ,0.541333261
410,chusku chunka,cuarenta- 40 ,0.541333261
411,chusku patsak,cuatrocientos- 400 ,0.541333261
412,chuskuchishka pampa,plano bidimensional cartesiano ,0.892474701
413,chuskumanyachi,cuadrilátero ,0.541333261
414,chuspi,mosca ,0.114099083
415,chutana,halar ,0.541333261
416,chutarik,elasticidad ,0.541333261
417,chutarina,estirarse- ponerse en el suelo ,0.50493044
418,chuya,aguado ,0.179302986
419,chuyaklla yaku,agua potable ,0.608050812
420,chuyakllachina,potabilizar ,0.541333261
421,chuyakllachiy,potabilización ,0.541333261
422,chuyayana,asear ,0.541333261
423,chuyayay,desinfección ,0.177101029
424,chuyayaygt,aseo ,0.458248259
425,hachun,nuera- cuñada ,0.366728883
426,hallmana,desyerbar ,0.541333261
427,hampatu,rana ,0.147554188
428,hampi,curación- medicina ,0.32108313
429,hampik ikay,seguro medico ,0.223603056
430,hampikillkalli,receta medica ,0.177113649
431,hampina,curar ,0.290568336
432,hampiwasi,centro de salud- hospital ,0.855268552
433,hamuktana,entender ,0.574735738
434,hamutana,comprender: ,0.77270666
435,hamutay,comprensión/ comprender ,0.77270666
436,hanika,fanega ,0.541333261
437,hankana,desequilibrar ,0.541333261
438,hankay,desequilibrio ,0.241373576
439,hantsa,páncreas ,0.013952818
440,hapina,coger- agarrar ,0.316510681
441,haplla,descomedido ,0.541333261
442,harkana,atrancar ,0.541333261
443,harkana- kinchana,cercar ,0.030300426
444,harkarina,tolerancia ,0.221198503
445,harkariy,atascarse ,0.075157724
446,harkashka shimiki,sílabas trabadas ,0.866737503
447,hatarikuna,manifestaciones ,0.541333261
448,hatariy,levantamiento ,0.541333261
449,hatun,grande ,0.777547459
450,hatun apuktukushka,señoríos ,0.541333261
451,hatun hallmay,aporque ,0.541333261
452,hatun hatun runa,gigante ,0.905331848
453,hatun ishpa / isma,caca ,0.20256592
454,hatun kahas,macizo montaña grande ,0.944798602
455,hatun kaksas,macizo montaña grande ,0.944798602
456,hatun mama,abuela ,0.541333261
457,hatun paktay,objetivo general ,0.766778272
458,hatun rikuchik,indicador general ,0.983505583
459,hatun wankurikuna,organizaciones nacionales ,0.774155809
460,hatun yachay,tercer nivel de educación superior ,0.446201585
461,hatun yaya / hatun tayta,abuelo ,0.373543688
462,hatuna,vender ,0.132215982
463,hatuna pampa,mercado ,0.418312424
464,hatuna wasilli,kiosko- chiringuito ,0.293381412
465,hatunkay,grandeza ,0.872627154
466,hatunkillka,mayúscula ,0.386744629
467,hatunkucha,mar ,0.920647832
468,hatunyachanawasi,universidad ,0.45893073
469,hawa,arriba ,0.836210975
470,hawachiy,alzar ,0.541333261
471,hawahawalla,superficialmente ,0.541333261
472,hawakara,epidermis ,0.541333261
473,hawakarak,epidermico- relativo a la epidermis ,0.648138757
474,hawalla,superficial ,0.257202751
475,hawalla shimiki,sílaba simple ,0.243501872
476,hawallallpa,suelo ,0.632890744
477,hawapacha,espacio- cielo ,0.79463216
478,hawaykawsay,civilización ,0.541333261
479,hawchashka,ensalada ,0.695035397
480,hayak,amargo- hiel- bilis ,0.0250555
481,hayak muyu,pimienta ,0.667377171
482,haytaypukllay,futbol ,0.690238118
483,hayñi,derecho ,0.456029327
484,hikama,jícama ,0.541333261
485,hillay,implemento ,0.541333261
486,hillaykuna,instrumentos ,0.764286294
487,hillaysapa,aparato ,0.267370753
488,hilli,sopa ,0.609729301
489,hita,pozo ,0.100046028
490,hondonada,pukru ,0.541333261
491,huchu kiru,muela ,0.046993227
492,huku ukuyayllika,secreccion endogeno ,0.072203999
493,hukukanllayay,secrecion exogeno ,0.072203999
494,hukurillawsallika,sistema excretor ,0.541333261
495,humpi,sudor ,0.367657808
496,humpina,sudar ,0.331714769
497,hunina,conjugar ,0.976036682
498,hunkay,semana ,0.671461453
499,hunkay / kanchisri,semana ,0.671461453
500,hunta,lleno ,0.863155346
501,hunu,millón- 1000000 ,0.541333261
502,hutkunantak,taladro ,0.049272416
503,huña,moco ,0.09380922
504,ichanik,duda ,0.452908291
505,ichanik yuyal,oración dubitativa ,0.833820431
506,ichanik yuyay,oración dubitativa ,0.833820431
507,illak,cero- 0 ,0.541333261
508,illana- mana tiyana,no haber- ausentar ,0.112846679
509,illapa,arma de fuego escopeta ,0.257053603
510,illay,faltar ,0.333606941
511,ima rikunchikuna,causa ,0.302689946
512,imachik,verbo ,0.408715771
513,imachik yuyayki,frase verbal ,0.099230326
514,imachikkuna,verbos ,0.026514488
515,imak,sujeto ,0.027951987
516,imakak,característica ,0.541333261
517,imakay,concepto ,0.541333261
518,imakay w,concepto ,0.541333261
519,imakay sapsikuna,características generales ,0.56074178
520,imakaychina,conceptualizar ,0.541333261
521,imakaychinamanta,conceptualización ,0.541333261
522,imallichik,adverbio ,0.541333261
523,imamantachiy,justificación ,0.541333261
524,imanik,predicado ,0.541333261
525,imapash,cualquier cosa ,0.315825085
526,imarayku,causas ,0.177538461
527,imaruran,consecuencias ,0.103866485
528,imaruray,función ,0.867367847
529,imashinakan,formas ,0.676259731
530,imatukuna,acontecer ,0.226590079
531,imatukuna w,acontecer ,0.226590079
532,imatukuy,acontecimiento- suceder ,0.541333261
533,imayay,materia ,0.483464904
534,imaykuna,elementos ,0.773684262
535,imilla,adolescente hombre- ,0.541333261
536,inchi,maní ,0.541333261
537,inti,sol- intipuncha domingo ,0.725852795
538,inti llika,sistema solar ,0.864746553
539,inti puncha,domingo ,0.725852795
540,inti suyu,este ,0.584787279
541,intikinrayllipyay,solsticios ,0.541333261
542,intillayayllipyay,equinoccio ,0.541333261
543,intillika,sistema solar ,0.864746553
544,intiraymi,fiesta de sol ,0.803157582
545,intishayakllipyay,equinoccio ,0.541333261
546,intiwayllashka,fotosíntesis ,0.948062777
547,ishkantinpurachi,sobreyectiva ,0.541333261
548,ishkay,dos- 2 ,0.541333261
549,ishkay chunka,veinte- 20 ,0.541333261
550,ishkay patsak,docientos- 200 ,0.541333261
551,ishkaychishka kutinkutinchikyuk yapa,suma de potencias con exponente par ,0.768633402
552,ishkaychishka yupay,número par ,0.270675962
553,ishkaykillkanancha kutinchiy,factorización de binomios ,0.541333261
554,ishkaymanpurachi,biyectiva ,0.541333261
555,ishkayniki kallari yachay,segundo nivel ,0.675030619
556,ishkaynikichishka iñu,par ordenado ,0.925776288
557,ishkaynipa yuyal,oración bimembre ,0.833820431
558,ishkaynipa yuyay,oración bimembre ,0.833820431
559,ishkaypakta kimsamanyaychi,triángulo isósceles ,0.400177423
560,ishpa phuru,vejiga ,0.053540011
561,iskun,nueve- 9 ,0.541333261
562,iskun chunka,noventa- 90 ,0.541333261
563,iskun patsak,novecientos- 900 ,0.541333261
564,ismuwanu,compost ,0.541333261
565,isru,aro ,0.186872619
566,iwila,shampoo natural planta ,0.718718249
567,iñina,creer ,0.286649582
568,iñiy,creencia- creer ,0.286649582
569,iñu uchilla suyukuna,puntos colaterales ,0.450478141
570,iñuku,átomo ,0.541333261
571,iñuwa,molécula ,0.541333261
572,kachachik,imperativo ,0.541333261
573,kachachik yuyay,oración imperativa ,0.273575355
574,kachamuna,mandar- enviar ,0.483096167
575,kacharishka,libre ,0.897046948
576,kachi,sal ,0.602323797
577,kachipurawa,borraja ,0.541333261
578,kahaskancha,cordillera ,0.916612618
579,kahasmuku,nudos de cordillera ,0.604345598
580,kakatsu,lagaña ,0.071940977
581,kakchiy,definición ,0.288734809
582,kakrikuchina,describir ,0.852711214
583,kakrikuchina w,describir ,0.852711214
584,kaksaskancha,cordillera ,0.916612618
585,kaksaskuna,accidentes geográficos ,0.713207115
586,kaksasmuku,nudos de cordillera ,0.604345598
587,kaksasuyu pampa,area andina ,0.958691725
588,kaktarikuchik,físico estructura ,0.749992332
589,kakunamaki,desafío ,0.321181723
590,kakwillay,certificado ,0.541333261
591,kakwillay- illu,certificado ,0.541333261
592,kalak,débil ,0.411165619
593,kallampa,hongo ,0.085230453
594,kallanpa,hongo ,0.085230453
595,kallari yachay,primer nivel de educación básica ,0.289994706
596,kallari yuyay,introducción ,0.753364482
597,kallarillaktayku,primeros pobladores ,0.795710323
598,kallarinancha,dominio ,0.199569077
599,kallariy,presentación- inicio ,0.474438452
600,kallariy yachay,educación básica ,0.137007618
601,kallariyuyay,presentación ,0.882503328
602,kallpa,vigor ,0.541333261
603,kallpana,correr ,0.863352938
604,kallpanakuy,atletismo ,0.623135369
605,kallpay,correr ,0.863352938
606,kalluwatariy,trabalengua ,0.541333261
607,kamachashka,protegido ,0.803999695
608,kamachay,proteger ,0.541333261
609,kamachik,legislador- consejero ,0.316758201
610,kamachik atiy,poder legislativo ,0.890892629
611,kamachik wasi,corte superior de justicia ,0.280083485
612,kamachikamay,administración ,0.207298806
613,kamachikkuna,leyes ,0.183320652
614,kamachina,consejo- exhoracion ,0.541333261
615,kamachipuk,legislativo ,0.871597389
616,kamachipuk tay,poder legislativo ,0.890892629
617,kamachipuy,legislar ,0.300552606
618,kamachiy,aconsejar ,0.541333261
619,kamakay,higiene ,0.544029049
620,kamana,cuidar/ abundancia ,0.922836419
621,kamanayay,precaución ,0.698941685
622,kamari,regalo ,0.580379012
623,kamari- challay,ofrenda ,0.775387545
624,kamay,cuidar/proteccion ,0.541333261
625,kamay paktachi atiy,poder judicial ,0.276633161
626,kamayku,evaluación ,0.067238759
627,kamaykuchiy,verificación ,0.541333261
628,kamaykuna,evaluar ,0.281580174
629,kamaykurina,auto evaluar  ,0.271361756
630,kamaykurinaw,auto evaluar ,0.271361756
631,kamaykuriy,auto-evaluación ,0.541333261
632,kamaykuy,evaluación ,0.067238759
633,kamaypakta,mandato ,0.313024344
634,kamayuk,cuidador- facultades de autoridad ,0.221141013
635,kamayuk wasi,ministerio ,0.32578227
636,kamikuy,agravio ,0.636837413
637,kamu, libro ,0.691733781
638,kamukuska,biblioteca ,0.920844681
639,kamuti,camote ,0.07479785
640,kamuyachik,imprenta ,0.344722302
641,kan,tú ,0.541333261
642,kana,ser / estar ,0.637611411
643,kancha,afuera ,0.708870381
644,kancha shuti,sustantivo colectivo ,0.864709241
645,kanchachani milka,cuadro estadístico ,0.214422239
646,kanchachani shuyu,gráfico estadístico ,0.790765487
647,kanchachanikamay,estadística ,0.541333261
648,kanchaman,hacia fuera ,0.613382511
649,kanchayashka,convexo ,0.541333261
650,kanchis,siete- 7 ,0.541333261
651,kanchis chunka,setenta- 70 ,0.541333261
652,kanchis patsak,setecientos- 700 ,0.541333261
653,kankuna / kikinkuna,ustedes / vosotros ,0.365465343
